code,name,equity
AT2149405 Corp,DANBNK 7,DANSKE DC EQUITY
EK2481985 Corp,DB 6,DBK GR EQUITY
AR8103921 Corp,HSBC 6.25,HSBA LN EQUITY
AQ9022791 Corp,UBS 5,UBSG SW EQUITY
EK5892527 Corp,DB 7.5,DBK GR EQUITY
AN6117401 Corp,HSBC 6,HSBA LN EQUITY
AR7387665 Corp,CABKSM 5.25,CABK SM EQUITY
AQ4052637 Corp,UCGIM 5.375,UCG IM EQUITY
EK2626407 Corp,DB 6.25,DBK GR EQUITY
AR5470927 Corp,SANTAN 4.75,SAN SM EQUITY
AR8209066 Corp,HSBC 6.5,HSBA LN EQUITY
EK8181159 Corp,HSBC 6.375,HSBA LN EQUITY
AM9264657 Corp,DANBNK 6.125,DANSKE DC EQUITY
EK1429340 Corp,UCGIM 8,UCG IM EQUITY
JV5948148 Corp,ISPIM 7,ISP IM EQUITY
AP9361290 Corp,BBVASM 6.125,BBVA SM EQUITY
EK3458065 Corp,SOCGEN 6,GLE FP EQUITY
AN5329338 Corp,ISPIM 6.25,ISP IM EQUITY
UV8549403 Corp,ISPIM 7.7,ISP IM EQUITY
QZ2259237 Corp,STANLN 7.5,STAN LN EQUITY
AQ1214081 Corp,NDASS 3.5,NDA SS EQUITY
AM2522820 Corp,CS 7.125,CSGN SW EQUITY
EK0315516 Corp,ACAFP 7.875,ACA FP EQUITY
EK4786241 Corp,HSBC 6.375,HSBA LN EQUITY
EK8312200 Corp,STANLN 6.5,STAN LN EQUITY
AP3065806 Corp,SANTAN 5.25,SAN SM EQUITY
LW2088877 Corp,HSBC 6.875,HSBA LN EQUITY
EJ9191945 Corp,BACR 8.25,BARC LN EQUITY
EK4609047 Corp,UCGIM 6.75,UCG IM EQUITY
EK2507318 Corp,SANTAN 6.375,SAN SM EQUITY
AN6130636 Corp,UCGIM 6.625,UCG IM EQUITY
AP3241647 Corp,ABNANV 4.75,ABN NA EQUITY
EK4903242 Corp,ACAFP 6.625,ACA FP EQUITY
AM0179896 Corp,ISPIM 7.75,ISP IM EQUITY
EK4786126 Corp,HSBC 5.625,HSBA LN EQUITY
EK3347144 Corp,BACR 6.625,BARC LN EQUITY
JK5850959 Corp,BNP 7.625,BNP FP EQUITY
QZ1988315 Corp,RBS 8.625,RBS LN EQUITY
UV4072699 Corp,RBS 7.5,RBS LN EQUITY
UV4500798 Corp,RBS 8 ,RBS LN EQUITY
AR5064167 Corp,SCOR 5.25,SCR FP EQUITY
AS0717817 Corp,SOCGEN 6.75,GLE FP EQUITY
AN7632044 Corp,CABKSM 6.75,CABK SM EQUITY
EK0641432 Corp,BBVASM 7,BBVA SM EQUITY
JK7186717 Corp,BBVASM 8.875,BBVA SM EQUITY
EK7399786 Corp,BBVASM 6.75,BBVA SM EQUITY
AN6439524 Corp,BBVASM 5.875,BBVA SM EQUITY
AL6247053 Corp,BNP 6.75,BNP FP EQUITY
AP9091830 Corp,BNP 5.125,BNP FP EQUITY
UV5159024 Corp,BNP 7.375,BNP FP EQUITY
EK9617466 Corp,BNP 6.125,BNP FP EQUITY
EJ9873484 Corp,SOCGEN 7.875,GLE FP EQUITY
QZ4822180 Corp,SOCGEN 7.375 ,GLE FP EQUITY
EK1447227 Corp,SOCGEN 6.75 ,GLE FP EQUITY
UV9578161 Corp,SOCGEN 8,GLE FP EQUITY
EK7432140 Corp,SWEDA 5.5,SWEDA SS EQUITY
AL6850542 Corp,SWEDA 6,SWEDA SS EQUITY
AN4046750 Corp,SABSM 6.5,SAB SM EQUITY
AP9958939 Corp,SABSM 6.125,SAB SM EQUITY
